2025-12-01T23:22:06.000000000Z [inf]  Starting Container
2025-12-01T23:22:08.125652833Z [inf]  [Mailchimp] Integration configured
2025-12-01T23:22:08.125662388Z [inf]  [DB] Connected to Supabase successfully
2025-12-01T23:22:08.125671341Z [inf]  [Supabase Auth] Authentication configured
2025-12-01T23:22:08.125679998Z [inf]  11:22:07 PM [express] serving on port 8080
2025-12-01T23:24:19.087539862Z [inf]  [Auth] Checking authorization header: Bearer eyJhbGciOiJIU...
2025-12-01T23:24:19.087554173Z [inf]  [Auth] Verifying JWT token manually...
2025-12-01T23:24:19.087555508Z [inf]  [Auth] Verifying JWT token manually...
2025-12-01T23:24:19.087567832Z [inf]  [Auth] Token verified successfully, user: 4ae949da-0101-4b42-bf88-dddfacf74d52
2025-12-01T23:24:19.087572586Z [inf]  [Auth] Token verified successfully, user: 4ae949da-0101-4b42-bf88-dddfacf74d52
2025-12-01T23:24:19.087582418Z [inf]  [Auth] Checking authorization header: Bearer eyJhbGciOiJIU...
2025-12-01T23:24:19.087590997Z [inf]  [Auth] Verifying JWT token manually...
2025-12-01T23:24:19.087599232Z [inf]  [Auth] Token verified successfully, user: 4ae949da-0101-4b42-bf88-dddfacf74d52
2025-12-01T23:24:19.087607383Z [inf]  [Auth] Checking authorization header: Bearer eyJhbGciOiJIU...
2025-12-01T23:24:19.087614503Z [inf]  [Auth] Verifying JWT token manually...
2025-12-01T23:24:19.087622058Z [inf]  [Auth] Token verified successfully, user: 4ae949da-0101-4b42-bf88-dddfacf74d52
2025-12-01T23:24:19.087630542Z [inf]  [Auth] Checking authorization header: Bearer eyJhbGciOiJIU...
2025-12-01T23:24:19.087639461Z [inf]  [Auth] Verifying JWT token manually...
2025-12-01T23:24:19.087646724Z [inf]  [Auth] Token verified successfully, user: 4ae949da-0101-4b42-bf88-dddfacf74d52
2025-12-01T23:24:19.087668345Z [inf]  [Auth] Checking authorization header: Bearer eyJhbGciOiJIU...
2025-12-01T23:24:19.087674214Z [inf]  [Auth] Verifying JWT token manually...
2025-12-01T23:24:19.087678066Z [inf]  [DB] Connected to Supabase successfully
2025-12-01T23:24:19.087681465Z [inf]  [Auth] Token verified successfully, user: 4ae949da-0101-4b42-bf88-dddfacf74d52
